,Portfolio,Cumulative
2021-10-01,0.008071688746830286,1.0080716887468304
2021-11-01,0.0028287564693337377,1.0109232780579251
2021-12-01,-0.005258939416255814,1.0056068937841358
2022-02-01,0.004328228397729694,1.0099593900987651
2022-03-01,-0.0024991703477642993,1.0074353295385843
2022-04-01,-0.0006164300136071556,1.0068143161646885
2022-06-01,0.0007851717604844708,1.0076048383337926
2022-07-01,0.003619939203584654,1.0112523065897987
2022-08-01,0.004465196316333353,1.015767746664067
2022-09-01,-0.0066354238450447075,1.009027697136825
2022-11-01,0.00655392243849981,1.015640786402158
2022-12-01,0.013906584307544701,1.0297648806244406
2023-02-01,0.010557551868946136,1.0406366767644522
2023-03-01,0.0012668507192202527,1.041955008086858
2023-05-01,-0.006329191326955036,1.0353602754865974
2023-06-01,0.00627484101377187,1.0418569966072508
2023-08-01,-0.007551470830025658,1.033989443888313
2023-09-01,0.000693857587933888,1.0347068853097985
2023-11-01,0.002394789264386455,1.0371847902505251
2023-12-01,0.012873127552737017,1.0505366023511788
2024-02-01,0.011106147048934678,1.0622040163371793
2024-03-01,0.01487239397992195,1.0780015329552013
2024-04-01,0.005152397797468377,1.0835558256792672
2024-05-01,0.004477209466093634,1.0884071320790394
2024-07-01,0.0020148897923587647,1.090600152499396
2024-08-01,-0.006812632472781509,1.083170294485658
2024-10-01,0.003291550170856889,1.0867356038535394
2024-11-01,-0.0011829868235382788,1.0854500099535107
